year,gdpto,gdppc
1970,2794.8,8.7
1971,3433.3,10.4
1972,4259.8,12.7
1973,5513.5,16.2
1974,7879.9,22.7
1975,10505.1,29.8
1976,14413.2,40.2
1977,18520.3,50.9
1978,25023.1,67.7
1979,32218.9,85.8
1980,39471.3,103.5
1981,49324,127.4
1982,56858.6,144.6
1983,67509.2,169.2
1984,77855.6,192.7
1985,87239.6,213.8
1986,101840.2,247.1
1987,120204.9,288.8
1988,144073.4,342.8
1989,163518,385.2
1990,197712.3,461.2
1991,238877.2,551.7
1992,273267.4,624.6
1993,310073.7,701.6
1994,366054.2,820
1995,428927.1,951.2
1996,481140.8,1056.9
1997,530347.1,1154.1
1998,524476.8,1133.1
1999,576872.8,1237.5
2000,635184.6,1351.2
2001,688164.9,1452.7
2002,761938.9,1599.2
2003,810915.3,1693.2
2004,876033.1,1821.9
2005,919797.3,1908.9
2006,966054.6,1994.4
2007,1043257.8,2142.9
2008,1104492.2,2251.6
2009,1151707.8,2335.8
2010,1265308,2553.4
2011,1332681,2668.7
2012,1377456.7,2743.9
2013,1429445.4,2834.6
2014,1486079.3,2928.4
2015,1564123.9,3066
2016,1641786,3203.8
2017,1730398.5,3363.5
2018,1782268.9,3451.7
